tamiders,overallocation,conflicts,undersupport,unwilling,unpreferred
tamiders,0,0,18,9,3
tamiders,3,0,5,19,2
tamiders,17,0,0,40,5
tamiders,1,0,6,14,4
tamiders,17,1,0,26,13
tamiders,17,1,0,31,8
tamiders,2,2,5,22,1
tamiders,1,1,7,9,7
tamiders,4,1,4,18,3
tamiders,0,0,5,19,3
tamiders,19,3,0,29,8
tamiders,0,0,9,13,2
tamiders,6,1,2,15,8
tamiders,0,0,6,15,4
tamiders,0,0,4,15,7
tamiders,0,0,8,11,4
tamiders,17,0,0,29,11
tamiders,17,1,0,28,11
tamiders,0,0,8,20,0
tamiders,4,0,5,36,0
tamiders,5,1,1,29,2
tamiders,0,0,6,10,6
tamiders,1,0,4,11,6
tamiders,6,1,2,17,7
tamiders,1,0,4,29,1
tamiders,0,0,9,11,3
tamiders,17,1,0,35,7
tamiders,5,3,3,27,1
tamiders,4,0,3,23,2
tamiders,0,1,9,10,4
tamiders,5,1,2,21,4
tamiders,1,1,7,11,4
tamiders,0,0,16,11,2
tamiders,5,0,1,26,6
tamiders,17,3,0,34,7
tamiders,3,2,4,22,2
tamiders,20,5,0,25,12
tamiders,1,0,7,21,0
tamiders,5,1,2,13,11
tamiders,2,0,6,9,11
tamiders,0,0,7,16,3
tamiders,0,1,9,7,8
tamiders,17,0,0,27,12
tamiders,4,2,6,9,8
tamiders,20,2,0,26,11
tamiders,0,0,6,18,3
tamiders,0,0,11,9,5
tamiders,17,0,0,32,9
tamiders,0,0,10,17,1
tamiders,0,0,8,7,12
tamiders,3,1,11,17,0
tamiders,5,1,1,31,1
tamiders,0,0,10,7,7
tamiders,1,0,13,16,0
tamiders,5,1,1,17,9
tamiders,3,1,4,23,2
tamiders,2,1,5,17,3
tamiders,1,1,7,12,3
tamiders,0,0,6,13,5
tamiders,4,2,5,23,0
tamiders,3,0,2,24,3
tamiders,18,1,0,25,14
tamiders,17,1,0,36,6
tamiders,2,0,6,22,0
tamiders,3,0,3,22,4
tamiders,3,0,3,31,1
tamiders,5,0,1,34,1
tamiders,1,2,8,7,8
tamiders,5,1,5,23,1
tamiders,0,0,9,6,9
tamiders,3,1,6,18,2
tamiders,0,0,8,8,8
tamiders,1,0,8,17,1
tamiders,0,0,5,11,7
tamiders,19,1,0,31,6
tamiders,17,0,0,37,6
tamiders,0,0,7,18,1
tamiders,5,2,3,29,0
tamiders,1,0,12,13,1
tamiders,4,2,4,21,1
tamiders,2,0,3,16,8
tamiders,1,0,4,19,3
tamiders,1,1,13,15,0
tamiders,2,2,5,20,2
tamiders,19,1,0,30,8
tamiders,1,0,4,25,2
tamiders,0,0,8,17,2
tamiders,0,0,6,19,1
tamiders,1,2,7,16,2
tamiders,17,1,0,29,10
tamiders,5,2,2,27,2
tamiders,3,1,6,8,13
tamiders,1,1,10,16,1
tamiders,0,0,8,12,3
tamiders,6,2,1,18,8
tamiders,2,0,4,24,1
tamiders,0,0,5,28,1
tamiders,4,1,3,20,3
tamiders,1,0,7,9,8
tamiders,20,0,0,34,8
tamiders,4,0,2,23,4
tamiders,3,0,3,18,7
tamiders,6,0,1,19,7
tamiders,7,1,4,39,0
tamiders,19,3,0,28,10
tamiders,2,1,5,14,4
tamiders,0,0,8,9,6
tamiders,2,1,12,16,0
tamiders,2,0,12,17,0
tamiders,5,0,2,18,8
tamiders,2,0,3,23,3
tamiders,0,0,5,14,5
tamiders,4,0,2,32,1
tamiders,4,0,11,19,0
tamiders,5,1,2,14,9
tamiders,5,3,4,26,0
tamiders,5,0,2,22,4
tamiders,4,0,2,22,5
tamiders,0,0,4,20,5
tamiders,3,1,3,18,5
tamiders,1,0,7,8,10
tamiders,5,1,1,23,5
tamiders,3,1,2,22,3
tamiders,1,0,4,10,7
tamiders,3,1,7,7,10
tamiders,3,1,3,20,4
tamiders,1,1,8,15,2
tamiders,0,1,8,7,9
tamiders,4,0,3,21,6
tamiders,3,0,3,27,2
tamiders,0,0,7,10,5
tamiders,19,2,0,29,9
tamiders,4,1,4,22,2
tamiders,0,0,5,18,4
tamiders,0,0,13,12,1
tamiders,0,0,7,12,4
tamiders,5,1,2,16,8
tamiders,5,1,2,19,5
tamiders,17,0,0,35,8
tamiders,4,0,2,30,2
tamiders,17,0,0,36,7
tamiders,0,0,18,10,2
tamiders,5,1,2,29,1
tamiders,0,0,14,15,0
tamiders,0,0,4,19,6
tamiders,4,0,2,19,7
tamiders,19,5,0,28,9
tamiders,20,2,0,24,15
tamiders,5,0,1,27,4
tamiders,0,1,14,14,0
tamiders,0,1,16,10,3
tamiders,5,0,1,31,2
tamiders,1,0,4,16,4
tamiders,0,0,10,8,6
tamiders,0,0,5,12,6
tamiders,0,0,5,21,2
tamiders,1,0,4,13,5
tamiders,0,0,4,14,8
